*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACINQ03     RDESN   OK      FEB11/98                                            
ACINQ04     RDESN   OK      FEB11/98                                            
ACINQ05     RDESN   OK      JUL23/97                                            
ACINQ06     RDESN   OK      JUL23/97                                            
ACINQ07     RDESN   FX      FEB12/98                                            
ACINQ08     RDESN   OK      JUL23/97                                            
ACINQ09     RDESN   OK      JUL23/97                                            
ACINQ0A     RDESN   OK      JUL23/97                                            
ACINQ0B     RDESN   OK      JUL23/97                                            
ACINQ0C     RDESN   OK      JUL23/97                                            
ACINQ0D     RDESN   OK      JUL23/97                                            
ACINQ0E     RDESN   OK      JUL23/97                                            
ACINQ0F     RDESN   OK      FEB11/98                                            
ACINQ10     RDESN   OK      JUL23/97                                            
ACINQ11     RDESN   OK      JUL23/97                                            
ACINQ50     RDESN   OK      JUL23/97                                            
         EJECT                                                                  
************************************************************************        
*   $INT  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACINT00     GHOAN   FX      JAN22/98                                            
ACINT10     GHOAN   FX      JAN23/98                                            
ACINT11     GHOAN   OK      JAN26/98                                            
ACINT12     GHOAN   FX      MAR25/98                                            
ACINT13     GHOAN   OK      JAN26/98                                            
ACINT14     GHOAN   OK      JAN26/98                                            
ACINT15     GHOAN   FX      JAN26/98                                            
ACINT17     GHOAN   OK      JAN26/98                                            
